,ly_eq_angle_x,ly_eq_angle_y,ly_eq_daylight_x,ly_eq_daylight_y,ly_dendrogram_ladderized_x,ly_dendrogram_ladderized_y
Cell111101,-0.6156673872965985,-0.5181772756040187,-0.6395876796953063,-0.47658757707487215,0.8820628647900308,-0.769047619047619
Cell111100,-0.5245364353737009,-0.4620659592238219,-0.5163597141245128,-0.46718342959657133,0.650434956692167,-0.7388888888888889
internal_9,-0.13670844734484605,-0.2913019252708955,-0.13281005144565783,-0.2920785847997838,-0.21631820990149908,-0.6031746031746031
internal_10,-0.19467796827083617,-0.37805944434768995,-0.18916486757650547,-0.3798935446392526,0.011323065236507612,-0.6634920634920635
internal_11,-0.3058904034858681,-0.5135721887464306,-0.3255217829563454,-0.4900693190591825,0.3937822022377091,-0.6936507936507936
Cell110010,-0.43300452832574154,-0.6538210130213902,-0.498766540671567,-0.56631882639208,0.8067345448700598,-0.7087301587301587
Cell110011,-0.3714851628340341,-0.6020164832701564,-0.39724851368077263,-0.5736177588251582,0.6340150098734516,-0.6785714285714286
internal_12,-0.2633120599101153,-0.5064647983674755,-0.25826632914519915,-0.5080479885152485,0.32896920751698366,-0.6333333333333333
Cell110000,-0.3391404986036554,-0.6329769052444154,-0.3537742299466374,-0.6204468594421616,0.6507591445923087,-0.6484126984126983
Cell110001,-0.29732988730140403,-0.5783894513761076,-0.2842982796649058,-0.5832324672523868,0.5025512345478707,-0.6182539682539683
internal_13,-0.1638954464561128,-0.4279801995753568,-0.13398923630485646,-0.4314295557708877,0.08771135247240402,-0.5428571428571428
internal_14,-0.22076988347086568,-0.6154700917950859,-0.17096843430168002,-0.6238345977677711,0.5151593290212821,-0.573015873015873
Cell110100,-0.2586047455089144,-0.7212114474644395,-0.251679901296021,-0.7019266599754778,0.7601753545262584,-0.5880952380952381
Cell110101,-0.2428359787114997,-0.7035628820296809,-0.17815537245830038,-0.7143641518946858,0.7132868958132643,-0.557936507936508
internal_15,-0.18516053097111262,-0.6438882259630534,-0.07304834803700412,-0.6396474412062785,0.5610318935473677,-0.5126984126984127
Cell110110,-0.19691400409112497,-0.7231237055999413,-0.0911139858373822,-0.7176861373418245,0.735789530470156,-0.5277777777777778
Cell110111,-0.1895288391226179,-0.7328071811169867,-0.0385162426144267,-0.7217034976363661,0.7552582037815943,-0.4976190476190476
internal_16,0.063372683719431,-0.14153670031943105,0.06488252982297604,-0.1400932306778726,-0.5839441535934324,-0.2412698412698413
internal_17,0.11397452670543329,-0.26370035593731156,0.11488897069525332,-0.26250181346025586,-0.2954633354441112,-0.3619047619047619
internal_18,0.1502204048446677,-0.4459206905334656,0.12470519619168677,-0.44803255414605636,0.10987078854026344,-0.4222222222222222
internal_19,0.1646680164531564,-0.5926097528884477,0.10154863698364447,-0.5936010543836353,0.4314472835194967,-0.4523809523809524
Cell100100,0.1697188537906716,-0.6954219087913155,0.05522906155976426,-0.6855268249366042,0.6560206115986527,-0.46746031746031746
Cell100101,0.17904114429981471,-0.6895055101836395,0.0936681347054806,-0.6912395317875202,0.645155506784526,-0.4373015873015873
internal_20,0.20734300390772795,-0.6342286633906895,0.1753770900310854,-0.6381778752561085,0.5391838625032526,-0.39206349206349206
Cell100111,0.2469039506781732,-0.7921648159961234,0.1721279465316226,-0.8009609821059926,0.8943946072290261,-0.40714285714285714
Cell100110,0.25970854991637127,-0.7805805602140837,0.29547321710947183,-0.73685891889348,0.8782996214964491,-0.376984126984127
internal_21,0.1781813479685781,-0.3597926546421672,0.18068019188292372,-0.3575163438318556,-0.04332872347171224,-0.30158730158730157
internal_22,0.22225765556653526,-0.44225362623549797,0.23035827349884241,-0.4367288487445773,0.16066128703272042,-0.33174603174603173
Cell100000,0.3005249606099994,-0.6077359391539736,0.306646469675517,-0.6031328091894063,0.5600341600683552,-0.3468253968253968
Cell100001,0.29715617287791274,-0.5672142530171828,0.3184815944148896,-0.552742755031029,0.47850495608239774,-0.31666666666666665
internal_23,0.322569489728986,-0.5357301144303207,0.3616242443430055,-0.4955785584926923,0.45322154075115617,-0.2714285714285714
Cell100010,0.372647832621704,-0.6032529432672179,0.39501767482812095,-0.5727280992654883,0.6366273651556238,-0.2865079365079365
Cell100011,0.3942317204060396,-0.614797201664241,0.4520154706676156,-0.5522928053165788,0.6860287608270352,-0.2563492063492063
internal_24,0.20423992015998488,-0.19988582014712591,0.21103336196279696,-0.18354587561352056,-0.25129615437248465,-0.1206349206349207
internal_25,0.3344080494658802,-0.2868613834872422,0.3504207962390873,-0.2548174244335072,0.09024933070868935,-0.18095238095238103
internal_26,0.39563775959448594,-0.33711130795837574,0.4096219221109615,-0.307442124026856,0.2630586277126239,-0.2111111111111112
Cell101001,0.5556974704260269,-0.4821809737445663,0.5126575735279235,-0.4973051628202868,0.734342667993471,-0.22619047619047628
Cell101000,0.5236886174928731,-0.4320802966693173,0.5261418610465982,-0.41625037213207716,0.6108709685622973,-0.1960317460317461
internal_27,0.501613254351237,-0.3762344274873992,0.5315686310175614,-0.3107690418335327,0.5038776307628006,-0.15079365079365087
Cell101010,0.6055343738655125,-0.43852234944665835,0.6133734129394794,-0.4001410842059128,0.7682062498555513,-0.16587301587301595
Cell101011,0.6290456752857854,-0.43650547389599625,0.6709741989244662,-0.33169052784625486,0.8114213867628102,-0.1357142857142858
internal_28,0.33357310919207095,-0.22561179095825903,0.3428075266070954,-0.17859927155801963,0.03639487086138393,-0.06031746031746038
internal_29,0.46849055008928175,-0.2665385492152176,0.4836063376397215,-0.1859075005825338,0.34398578378952727,-0.09047619047619054
Cell101100,0.6411656726473828,-0.32832269599519276,0.6584912642396296,-0.24112743531564879,0.7440957688086856,-0.10555555555555562
Cell101101,0.6046340183916659,-0.30064071274018317,0.62381263818876,-0.17956756329274565,0.6501830791361769,-0.07539682539682546
internal_30,0.5284046606292532,-0.24480102387756061,0.5268203327982754,-0.11176479502758081,0.4635108835802917,-0.030158730158730218
Cell101110,0.6518737279969417,-0.2631159299159854,0.6515951009369302,-0.11512688006340022,0.7358278121218917,-0.0452380952380953
Cell101111,0.6438868105640385,-0.2504742981084619,0.6295266134831913,-0.05866363777154228,0.7157593703165521,-0.015079365079365137
internal_31,4.7861656368845285e-18,0.0781640166,4.7861656368845285e-18,0.0781640166,-0.7794714358805716,0.48253968253968244
internal_32,0.08464591359110375,0.16280993019110374,0.08664016054290066,0.16076755136967918,-0.5183086687417409,0.2412698412698412
internal_33,0.19365815422636098,0.2079642787269067,0.1991502953485761,0.19632107954932324,-0.26088398537178126,0.12063492063492055
internal_34,0.37386756024247225,0.24381015830165337,0.3828460762599329,0.19229402423139036,0.13997699363569915,0.06031746031746024
internal_35,0.5182157729678095,0.2580272163450703,0.5183222004808395,0.14047944112498514,0.45642180253630027,0.030158730158730107
Cell000100,0.6774196446604753,0.26584840103243346,0.6444370132704692,0.04300073736418768,0.8041719590731078,0.015079365079365026
Cell000101,0.6104112395668125,0.2717031219295922,0.6091763240480823,0.1196812997226187,0.6597633100487352,0.04523809523809519
internal_36,0.5085031860385714,0.28465142888229916,0.5231334742921939,0.20298079500121075,0.4469254116895587,0.09047619047619038
Cell000110,0.6355762636143033,0.3164815778063982,0.6505571922897851,0.17258471767586067,0.7327226897392376,0.07539682539682535
Cell000111,0.6146327723384982,0.3226252020611565,0.6326632191641638,0.22960280705729152,0.692841016412904,0.1055555555555554
internal_37,0.36908963504877146,0.32518384663099054,0.38247667028750265,0.30076279446685994,0.1994270795217754,0.18095238095238086
internal_38,0.5135505226680038,0.40239979977280604,0.5366358948643288,0.3561359373179498,0.556791022894354,0.1507936507936507
Cell000010,0.6341356568140242,0.45943232072000334,0.666019558622415,0.3236805745077651,0.8478096255471259,0.13571428571428568
Cell000011,0.6195603743160658,0.4659396595936971,0.6511360171819264,0.4026668348136764,0.8264324377225529,0.16587301587301573
internal_39,0.48059023050701205,0.41669002048833503,0.4856876234611023,0.4015261895394249,0.5141164595006744,0.21111111111111103
Cell000001,0.6084430752590784,0.5115121526411387,0.6158400431109327,0.49316643351822587,0.8613909561135249,0.196031746031746
Cell000000,0.5695736711540683,0.49733991000837785,0.5337055521305494,0.5116022355952277,0.7761216524900132,0.22619047619047605
internal_40,0.14193928292143895,0.30112835946244965,0.14386176360842629,0.29911568539369104,-0.19167949708255072,0.36190476190476184
internal_41,0.22270658446934005,0.4220051683939797,0.2260043176488477,0.4190621765992101,0.12548668300876908,0.3015873015873015
internal_42,0.34395438934999084,0.5697460461108558,0.36998881509780424,0.544747743118603,0.5424574176957826,0.27142857142857135
Cell001110,0.4077322982973622,0.6401141248420908,0.4598263234026315,0.5755456371310932,0.7496510473666551,0.2563492063492063
Cell001111,0.41613362577536345,0.6670684802251259,0.4505706047312551,0.6352357176364722,0.8068050697305198,0.2865079365079364
internal_43,0.31097877944116115,0.587150829606074,0.3103514194658068,0.586246614383959,0.5340201324029208,0.3317460317460317
Cell001100,0.39491251881502104,0.727185813699075,0.40087899616063744,0.7221120891484025,0.8902061910499655,0.31666666666666665
Cell001101,0.3553946083478461,0.6810602096925331,0.3089608444781921,0.6901205948934916,0.7606598153314597,0.3468253968253967
internal_44,0.16591872615830322,0.4216811614463274,0.15054569110650332,0.42184839039653244,0.07648028044333377,0.42222222222222217
internal_45,0.20795191462258084,0.5602460139260933,0.16757466439074703,0.5656434575723479,0.3923867280498847,0.392063492063492
Cell001001,0.25710855614202577,0.6976296234973737,0.22289444124568697,0.7006632852756333,0.7107218370864938,0.376984126984127
Cell001000,0.23427900250897676,0.6653496403435684,0.1622277286752821,0.6738622088178546,0.628772994254563,0.40714285714285703
internal_46,0.1829354134749543,0.5944544872049483,0.09579064732566617,0.5865969106371883,0.4552395391869051,0.45238095238095233
Cell001010,0.1976123529463254,0.6933983761083532,0.09821863253400527,0.6865939635507803,0.673465014591992,0.4373015873015873
Cell001011,0.18898408294142563,0.7175779827039541,0.03484415673425117,0.6937487040463464,0.7241790717366696,0.46746031746031735
internal_47,-0.055081884004340505,0.13324590060434052,-0.0562750236253534,0.13202633744584885,-0.6095242212367029,0.7238095238095237
internal_48,-0.11697902610468462,0.282678820535126,-0.12058425302126728,0.2804371752365387,-0.25664896728297804,0.603174603174603
internal_49,-0.1436351309949972,0.41668810935644335,-0.14112387653943054,0.41551922912990646,0.041443656740247636,0.5428571428571427
internal_50,-0.15945304173070415,0.5772900522320634,-0.11601559610986621,0.5749330447461732,0.3935204172543749,0.5126984126984125
Cell010011,-0.1650158211036673,0.6905230276633613,-0.05946717320489628,0.673192533378762,0.6408560160228332,0.4976190476190474
Cell010010,-0.17567607668988,0.686656870280731,-0.1014942289309708,0.6845387820441482,0.634734160990607,0.5277777777777777
internal_51,-0.20287496344289113,0.6119756653086788,-0.1977939873710267,0.6115679113406947,0.48666910142251285,0.5730158730158729
Cell010000,-0.2365824433275317,0.7465434681950927,-0.16383063252256153,0.7460713622305786,0.7893226021622133,0.5579365079365077
Cell010001,-0.24797357936746828,0.7380178531163294,-0.2407083632371868,0.7383704137200623,0.7787247092506313,0.588095238095238
internal_52,-0.22388333593711957,0.442672426684125,-0.23810906674453397,0.43279991224471187,0.16315497484505315,0.6634920634920634
internal_53,-0.3078015904414479,0.5996724382087755,-0.3344167147441194,0.5825200311151615,0.5515379077803197,0.6333333333333332
Cell010110,-0.37841776502134505,0.7489777949276102,-0.35640404531644215,0.7462127033749191,0.9118695240164736,0.6182539682539681
Cell010111,-0.3889690257193459,0.7350921227456713,-0.44458817692242364,0.6956080164679769,0.8959847187742722,0.6484126984126983
internal_54,-0.30781796123985594,0.5449470635344151,-0.35094823278817094,0.5018827992294492,0.4518058284634876,0.6936507936507935
Cell010100,-0.4109686165989085,0.68402962185996,-0.494340642682939,0.598953044495192,0.8295825257579015,0.6785714285714284
Cell010101,-0.37750662990626105,0.6218366606430181,-0.4541646618281294,0.5126014493430833,0.6782015890996378,0.7087301587301587
internal_55,-0.17627230459732393,0.1834446164436539,-0.18195750330985128,0.1695888641949393,-0.3233416286505729,0.8444444444444443
internal_56,-0.31401723317264113,0.2754828351994004,-0.33030495932203285,0.24332983892855495,0.0380844646534938,0.784126984126984
internal_57,-0.40002570479679145,0.34606816369292925,-0.4138202809904875,0.31684811445427835,0.2808271378840901,0.7539682539682538
Cell011001,-0.49850264694115715,0.4353224614191375,-0.4846901525404347,0.42928253579933334,0.5707852474370056,0.7388888888888887
Cell011000,-0.49516149636584905,0.41662567548014334,-0.5031469037235974,0.3946294475501484,0.539235421181014,0.769047619047619
internal_58,-0.4731833376881064,0.3605588905288243,-0.5044142851749962,0.29084538026052176,0.43182582744244935,0.8142857142857142
Cell011010,-0.5971883304276024,0.43488462283827267,-0.5993292276569973,0.3998990661280645,0.7472387930132725,0.799206349206349
Cell011011,-0.5625849161339046,0.40284268804277146,-0.6001839507413335,0.31551789367348,0.6475864402120375,0.8293650793650793
internal_59,-0.32460487082491335,0.2129497983514836,-0.33291882336005096,0.16043540518877633,0.006611946088846854,0.9047619047619047
internal_60,-0.49429201154629887,0.2644238297401283,-0.5101458577479077,0.16625605083027686,0.39347240074587164,0.8746031746031745
Cell011111,-0.6551289781721252,0.3219722165977221,-0.6634075248379256,0.24169614669512174,0.7661518889885004,0.8595238095238094
Cell011110,-0.5181272355614251,0.2703942425491561,-0.5346465095361237,0.1643900939942156,0.4470796814947595,0.8896825396825396
internal_61,-0.5064582689959845,0.23086079474262158,-0.5020255785557146,0.09119403341377937,0.40527683251641866,0.9349206349206348
Cell011100,-0.6121331202492138,0.24653617816123735,-0.6087148233015051,0.09669829433470148,0.6383477670499433,0.9198412698412697
Cell011101,-0.6245954659534317,0.23666450306973605,-0.6040957612084003,0.03142984557058778,0.6633247574693926,0.95
